id,Zone,Element,Unit,Value
SUR,Suriname,Export Value,1000 US$,3472
SWE,Sweden,Import Quantity,tonnes,52918
SWE,Sweden,Import Value,1000 US$,172875
SWE,Sweden,Export Quantity,tonnes,16487
SWE,Sweden,Export Value,1000 US$,28224
CHE,Switzerland,Import Quantity,tonnes,33791
CHE,Switzerland,Import Value,1000 US$,126957
CHE,Switzerland,Export Quantity,tonnes,3106
CHE,Switzerland,Export Value,1000 US$,4793
SYR,Syrian Arab Republic,Import Quantity,tonnes,24298
SYR,Syrian Arab Republic,Import Value,1000 US$,22261
SYR,Syrian Arab Republic,Export Quantity,tonnes,113
SYR,Syrian Arab Republic,Export Value,1000 US$,85
TJK,Tajikistan,Import Quantity,tonnes,2609
TJK,Tajikistan,Import Value,1000 US$,2601
TJK,Tajikistan,Export Quantity,tonnes,0
TJK,Tajikistan,Export Value,1000 US$,0
THA,Thailand,Import Quantity,tonnes,356
THA,Thailand,Import Value,1000 US$,1046
THA,Thailand,Export Quantity,tonnes,224061
THA,Thailand,Export Value,1000 US$,592285
TLS,Timor-Leste,Import Quantity,tonnes,6881
TLS,Timor-Leste,Import Value,1000 US$,11517
TGO,Togo,Import Quantity,tonnes,15209
TGO,Togo,Import Value,1000 US$,10476
TGO,Togo,Export Quantity,tonnes,70
TGO,Togo,Export Value,1000 US$,60
TON,Tonga,Import Quantity,tonnes,7976
TON,Tonga,Import Value,1000 US$,8949
TTO,Trinidad and Tobago,Import Quantity,tonnes,19985
TTO,Trinidad and Tobago,Import Value,1000 US$,24242
TTO,Trinidad and Tobago,Export Quantity,tonnes,0
TTO,Trinidad and Tobago,Export Value,1000 US$,1
TUN,Tunisia,Import Quantity,tonnes,233
TUN,Tunisia,Import Value,1000 US$,548
TUN,Tunisia,Export Quantity,tonnes,2739
TUN,Tunisia,Export Value,1000 US$,2927
TUR,T?rkiye,Import Quantity,tonnes,2752
TUR,T?rkiye,Import Value,1000 US$,1996
TUR,T?rkiye,Export Quantity,tonnes,405030
TUR,T?rkiye,Export Value,1000 US$,515421
TKM,Turkmenistan,Import Quantity,tonnes,9648
TKM,Turkmenistan,Import Value,1000 US$,8481
TUV,Tuvalu,Import Quantity,tonnes,587
TUV,Tuvalu,Import Value,1000 US$,639
UGA,Uganda,Import Quantity,tonnes,184
UGA,Uganda,Import Value,1000 US$,253
UGA,Uganda,Export Quantity,tonnes,205
UGA,Uganda,Export Value,1000 US$,609
UKR,Ukraine,Import Quantity,tonnes,106930
UKR,Ukraine,Import Value,1000 US$,42926
UKR,Ukraine,Export Quantity,tonnes,270979
UKR,Ukraine,Export Value,1000 US$,387464
ARE,United Arab Emirates,Import Quantity,tonnes,440543
ARE,United Arab Emirates,Import Value,1000 US$,720524
ARE,United Arab Emirates,Export Quantity,tonnes,23131
ARE,United Arab Emirates,Export Value,1000 US$,41296
GBR,United Kingdom of Great Britain and Northern Ireland,Import Quantity,tonnes,366960
GBR,United Kingdom of Great Britain and Northern Ireland,Import Value,1000 US$,1178523
GBR,United Kingdom of Great Britain and Northern Ireland,Export Quantity,tonnes,279153
GBR,United Kingdom of Great Britain and Northern Ireland,Export Value,1000 US$,270019
TZA,United Republic of Tanzania,Import Quantity,tonnes,2327
TZA,United Republic of Tanzania,Import Value,1000 US$,2328
USA,United States of America,Import Quantity,tonnes,58075
USA,United States of America,Import Value,1000 US$,204347
USA,United States of America,Export Quantity,tonnes,3191436
USA,United States of America,Export Value,1000 US$,3199249
URY,Uruguay,Import Quantity,tonnes,348
URY,Uruguay,Import Value,1000 US$,1008
URY,Uruguay,Export Quantity,tonnes,3178
URY,Uruguay,Export Value,1000 US$,3698
UZB,Uzbekistan,Import Quantity,tonnes,7696
UZB,Uzbekistan,Import Value,1000 US$,7018
VUT,Vanuatu,Import Quantity,tonnes,3394
VUT,Vanuatu,Import Value,1000 US$,7608
VEN,Venezuela (Bolivarian Republic of),Import Quantity,tonnes,23121
VEN,Venezuela (Bolivarian Republic of),Import Value,1000 US$,58958
VEN,Venezuela (Bolivarian Republic of),Export Quantity,tonnes,
VEN,Venezuela (Bolivarian Republic of),Export Value,1000 US$,
VNM,Viet Nam,Import Quantity,tonnes,85848
VNM,Viet Nam,Import Value,1000 US$,108084
VNM,Viet Nam,Export Quantity,tonnes,6700
VNM,Viet Nam,Export Value,1000 US$,12114
YEM,Yemen,Import Quantity,tonnes,81697
YEM,Yemen,Import Value,1000 US$,130327
YEM,Yemen,Export Quantity,tonnes,99
YEM,Yemen,Export Value,1000 US$,124
ZMB,Zambia,Import Quantity,tonnes,12011
ZMB,Zambia,Import Value,1000 US$,7500
ZMB,Zambia,Export Quantity,tonnes,958
ZMB,Zambia,Export Value,1000 US$,1503
ZWE,Zimbabwe,Import Quantity,tonnes,5877
ZWE,Zimbabwe,Import Value,1000 US$,4604
